Pricing Table,,,,,,,,
package,Priority,,,,,,,
carrier,AA,,,,,,,
subcode,CUU,,,,,,,
result_type,UNITLESS_PTABLE_TYPE,,,,,,,
name,Priority Price Test_t,,,,,,,
comment,Updating stale,,,,,,,
attribute_group,TS,,,,,,,
Pricelines,,,,,,,,
arm,Comment,Segment matches required,Travel dates (Start),Travel dates (End),Loc1,Loc2,Sector direction,Result
Control,Control - no change,,08/06/2026,12/05/2026,P:GRI,P:LAX,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:GSO,P:EVV,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:GUC,P:SJC,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:IAH,P:GRK,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ILG,P:JAX,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:JAX,P:DFW,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:JAX,P:MOB,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:JFK,P:SHV,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:LAN,P:ABI,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:LAS,P:SHD,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:LAW,P:MKE,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:LAX,P:AEX,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:LAX,P:BDL,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:LAX,P:DSM,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:LAX,P:LAN,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:LFT,P:SLC,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:LIT,P:YUL,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:LRD,P:PHL,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:LRD,P:PWM,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:LWB,P:MKE,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MCO,P:AUS,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MCO,P:AVP,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MFE,P:YVR,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MFR,P:ALB,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MFR,P:HSV,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MGM,P:EWR,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MHK,P:RNO,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MIA,P:MDT,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MLB,P:FLO,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MLB,P:RNO,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MLB,P:SEA,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MOB,P:GCK,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MOB,P:YUL,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MQT,P:FLO,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MRY,P:SDF,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MSN,P:GSP,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MSN,P:MVY,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MSO,P:MDT,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MSP,P:CAK,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MTJ,P:SPS,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MVY,P:GSO,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:OKC,P:CID,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:OKC,P:SBA,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ONT,P:ALB,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ORD,P:DEN,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ORF,P:FNT,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PBI,P:COS,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PBI,P:MDT,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PDX,P:LAN,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PGV,P:GSP,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PHF,P:BTV,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PIT,P:ORH,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PNS,P:ALB,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PSP,P:SAT,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PVD,P:BTR,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PVD,P:RDU,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:RDU,P:BHM,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:RDU,P:SHV,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:RFD,P:LBB,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:RFD,P:MDT,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:RIC,P:BDL,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:RIC,P:COS,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ROA,P:LFT,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ROC,P:XNA,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:RST,P:BNA,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:RST,P:TYS,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:RSW,P:FSD,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:RSW,P:GRB,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SAF,P:RDU,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SAT,P:BOS,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SAT,P:CMH,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SBA,P:BNA,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SBA,P:BTR,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SCE,P:PDX,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SDF,P:DTW,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SDF,P:JFK,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SEA,P:LAS,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SFO,P:PHF,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SHD,P:FNT,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SHD,P:SDF,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SHV,P:PBI,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SJC,P:TVC,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SJT,P:ALB,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SNA,P:PNS,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SPS,P:DAB,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SRQ,P:BZN,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:STL,P:PVU,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SWO,P:MTJ,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SYR,P:BUF,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:TLH,P:BPT,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:TPA,P:OKC,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:TTN,P:FNT,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:TXK,P:SAF,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:TYR,P:AVP,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:VRB,P:LAS,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:XNA,P:MHK,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:XNA,P:MTJ,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:YQB,P:RDU,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:YUM,P:MGM,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:YUM,P:OMA,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:YYC,P:BUR,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:YYZ,P:LAX,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:YYZ,P:MSP,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ABI,P:MHK,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ABQ,P:MCO,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ACT,P:ORH,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ACT,P:RNO,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ALB,P:CLL,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:AMA,P:FAR,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:AMA,P:SDF,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:AMA,P:YUL,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ANC,P:SJC,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ATW,P:ROW,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:AVL,P:GRK,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:AVL,P:RDU,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:AVP,P:HTS,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BDL,P:HRL,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BHM,P:PHX,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BMI,P:MTJ,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BMI,P:PWM,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BNA,P:ANC,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BNA,P:SHV,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BOI,P:ANC,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BTV,P:IAD,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BUF,P:BMI,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BUF,P:GRI,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BUF,P:OKC,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BWI,P:CRP,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:CHA,P:SGF,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:CHO,P:GPT,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:CID,P:EVV,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:CLL,P:HPN,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:CMH,P:CLD,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:CMH,P:ECP,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:CMH,P:TXK,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:CMI,P:LBB,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:CMI,P:MKE,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:CMI,P:PHL,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:COU,P:DAB,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:CRP,P:DFW,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:CRW,P:SHV,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:CWA,P:ATL,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:DAB,P:AVL,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:DAB,P:LYH,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:DAY,P:BZN,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:DCA,P:LBB,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:DEN,P:BIL,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:DRO,P:SMX,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:DTW,P:RFD,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:DTW,P:TXK,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:EGE,P:CAE,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:EGE,P:GEG,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ELP,P:ART,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ELP,P:MVY,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ELP,P:RAP,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ERI,P:COU,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ERI,P:VPS,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:EVV,P:MKE,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:EVV,P:MTJ,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:EWN,P:SRQ,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:FAY,P:ABE,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:FNT,P:EVV,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:FWA,P:SYR,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:GCK,P:CLT,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:GEG,P:MCO,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:GGG,P:BHM,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:GNV,P:MKE,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:GNV,P:SAN,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:GPT,P:XNA,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:GSO,P:TLH,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:GSP,P:SJC,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:HSV,P:OAJ,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:HSV,P:ORF,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:HTS,P:BTV,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:IAD,P:TYS,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:IDA,P:ABI,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ILG,P:FAT,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:IND,P:CMH,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:IND,P:FLL,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:IND,P:RDU,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:JFK,P:BUR,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:LAS,P:DAB,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:LAX,P:BIS,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:LBB,P:LFT,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:LCH,P:BDL,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:LCH,P:CRW,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:LCH,P:SBA,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:LFT,P:STL,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:LRD,P:IND,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:LSE,P:MGM,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:LYH,P:PIA,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MDT,P:TVC,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MFE,P:HHH,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MFR,P:TYR,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MGM,P:FCA,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MIA,P:ELP,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MKE,P:ANC,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MKE,P:LEX,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MLI,P:ROW,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MLU,P:GRK,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MOB,P:PVU,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MQT,P:MCI,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MQT,P:ONT,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MSO,P:OMA,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MSP,P:YUL,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MYR,P:PBI,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:OKC,P:BRO,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:OMA,P:FLL,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ORF,P:MKE,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PDX,P:FSD,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PHL,P:MFR,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PHX,P:AUS,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PIA,P:BIS,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PIA,P:EGE,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PIA,P:LBB,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PIT,P:BDL,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PIT,P:OKC,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PSC,P:LAW,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PVD,P:ART,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PVU,P:LRD,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PWM,P:ALO,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:RDM,P:ASE,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:RFD,P:SHD,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:RIC,P:DSM,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:RNO,P:EWN,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ROA,P:ROW,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ROC,P:SDF,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ROC,P:YUM,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:RST,P:BTR,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:RST,P:SCE,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:RSW,P:PHF,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:RSW,P:SBA,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SAF,P:SRQ,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SAN,P:MLI,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SAT,P:ALB,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SCE,P:CVG,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SEA,P:LIT,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SFO,P:DCA,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SHD,P:CMI,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SHV,P:LBB,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SHV,P:OKC,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SJT,P:ACT,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SLC,P:CLD,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SMX,P:AVL,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SMX,P:DEN,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:STS,P:FWA,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SYR,P:LAN,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:TLH,P:LBB,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:TPA,P:SBP,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:TRI,P:IDA,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:TUL,P:SBN,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:TUS,P:AVP,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:TUS,P:MIA,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:TXK,P:CID,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:TXK,P:LSE,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:VPS,P:LAN,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:XNA,P:FAR,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:YUL,P:COS,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:YVR,P:MSY,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ABQ,P:AVP,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ABQ,P:LRD,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:AEX,P:EUG,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ALB,P:ERI,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ASE,P:RST,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ASE,P:SDF,From Loc1 to Loc2,1.0
