Pricing Table,,,,,,,,
package,Priority,,,,,,,
carrier,AA,,,,,,,
subcode,CUU,,,,,,,
result_type,UNITLESS_PTABLE_TYPE,,,,,,,
name,Priority Price Test_t,,,,,,,
comment,Updating stale,,,,,,,
attribute_group,TS,,,,,,,
Pricelines,,,,,,,,
arm,Comment,Segment matches required,Travel dates (Start),Travel dates (End),Loc1,Loc2,Sector direction,Result
Control,Control - no change,,08/06/2026,12/05/2026,P:GJT,P:STL,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:GPT,P:HSV,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:GRI,P:SGU,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:GRK,P:BGR,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:GRK,P:LEX,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:GRR,P:PIT,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:GSP,P:PIT,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:GTR,P:BIL,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:GUC,P:ECP,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:HOU,P:LAN,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:HPN,P:COU,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:HSV,P:TTN,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ICT,P:ABI,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ICT,P:LIT,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ILG,P:FLL,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:LAN,P:LEX,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:LAN,P:PNS,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:LAN,P:TLH,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:LAN,P:TYS,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:LAW,P:YYC,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:LCH,P:CHA,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:LRD,P:SAN,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:LSE,P:LAN,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:LYH,P:FLG,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MAF,P:SLC,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MCI,P:IAH,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MCI,P:MKE,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MCI,P:MOB,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MCO,P:GUC,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MDT,P:TRI,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MEM,P:ELP,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MFE,P:ALO,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MFE,P:ANC,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MHK,P:BUF,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MHK,P:YUM,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MIA,P:ORH,From Loc1 to Loc2,1.0
